@RELATION ImageDataset

@ATTRIBUTE hue NUMERIC
@ATTRIBUTE saturation NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE class {wholegrain, groats, broken}

@DATA
21, 80, 144, 3936, wholegrain
19, 98, 169, 7200, wholegrain
19, 89, 170, 5830, wholegrain
25, 46, 183, 4932, wholegrain
19, 111, 159, 4640, wholegrain
20, 96, 141, 5328, wholegrain
18, 89, 144, 4824, wholegrain
19, 111, 142, 8382, wholegrain
23, 92, 141, 3840, wholegrain
18, 94, 162, 4620, wholegrain
19, 107, 146, 4686, wholegrain
20, 101, 146, 6342, wholegrain
20, 96, 149, 4410, wholegrain
20, 87, 137, 3531, wholegrain
19, 100, 153, 8326, wholegrain
19, 93, 151, 6162, wholegrain
18, 110, 111, 3317, wholegrain
17, 110, 151, 5226, wholegrain
18, 117, 153, 3955, wholegrain
22, 98, 81, 7682, wholegrain
20, 100, 128, 6290, wholegrain
19, 108, 139, 5868, wholegrain
18, 121, 131, 6683, wholegrain
20, 85, 180, 7896, wholegrain
20, 92, 130, 5610, wholegrain
20, 96, 133, 9150, wholegrain
25, 57, 151, 7695, wholegrain
23, 92, 155, 4185, wholegrain
22, 80, 173, 6644, wholegrain
26, 67, 152, 3071, wholegrain
19, 101, 144, 5330, wholegrain
28, 52, 141, 7155, wholegrain
19, 124, 109, 3663, wholegrain
21, 90, 148, 1876, wholegrain
19, 90, 127, 3060, wholegrain
19, 113, 129, 5472, wholegrain
20, 95, 116, 3800, wholegrain
17, 84, 143, 4453, wholegrain
24, 86, 139, 3060, wholegrain
